id,name,city,state,law_branch,parent_id,jurisdiction
,"séptimo tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"octavo tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"noveno tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"décimo tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en boca del río",boca del río,veracruz,laboral,1,federal
,"cuarto tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en boca del río",boca del río,veracruz,laboral,1,federal
,"quinto tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en boca del río",boca del río,veracruz,laboral,1,federal
,"sexto tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en xalapa",xalapa,veracruz,laboral,1,federal
,"séptimo tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en xalapa",xalapa,veracruz,laboral,1,federal
,"octavo tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en xalapa",xalapa,veracruz,laboral,1,federal
,"noveno tribunal laboral federal de asuntos individuales en el estado de veracruz, con sede en xalapa",xalapa,veracruz,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en toluca",toluca,estado de méxico,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en toluca",toluca,estado de méxico,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en toluca",toluca,estado de méxico,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en toluca",toluca,estado de méxico,laboral,1,federal
,"cuarto tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"quinto tribunal laboral federal de asuntos individuales en el estado de méxico, con sede en naucalpan",naucalpan,estado de méxico,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de puebla, con sede en puebla",puebla,puebla,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de puebla, con sede en puebla",puebla,puebla,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de puebla, con sede en puebla",puebla,puebla,laboral,1,federal
,"cuarto tribunal laboral federal de asuntos individuales en el estado de puebla, con sede en puebla",puebla,puebla,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"cuarto tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"quinto tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"sexto tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"séptimo tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"octavo tribunal laboral federal de asuntos individuales en el estado de jalisco, con sede en zapopan",zapopan,jalisco,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de aguascalientes, con sede en aguascalientes",aguascalientes,aguascalientes,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de aguascalientes, con sede en aguascalientes",aguascalientes,aguascalientes,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en campeche",campeche,campeche,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en ciudad del carmen",ciudad del cármen,campeche,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en campeche",campeche,campeche,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en campeche",campeche,campeche,laboral,1,federal
,"tercer tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en ciudad del carmen",ciudad del cármen,campeche,laboral,1,federal
,"cuarto tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en ciudad del carmen",ciudad del cármen,campeche,laboral,1,federal
,"quinto tribunal laboral federal de asuntos individuales en el estado de campeche, con sede en ciudad del carmen",ciudad del cármen,campeche,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de colima, con sede en colima",colima,colima,laboral,1,federal
,"tribunal laboral federal de asuntos individuales en el estado de chiapas, con sede en tuxtla gutiérrez",tuxtla gutiérrez,chiapas,laboral,1,federal
,"primer tribunal laboral federal de asuntos individuales en el estado de chiapas, con sede en tuxtla gutiérrez",tuxtla gutiérrez,chiapas,laboral,1,federal
,"segundo tribunal laboral federal de asuntos individuales en el estado de chiapas, con sede en tuxtla gutiérrez",tuxtla gutiérrez,chiapas,laboral,1,federal
